puerh maduro, Puerh Imperial, Teashop, China, 2015, 140, água mineral
chá verde, Gunpowder, Teashop, China, 2019, 140, água filtrada
chá branco, Silver Needle, Bellocq, China, 2019, 140, água filtrada
chá verde, Dragon Pearls, Teashop, China, 2018, 140, água filtrada
chá preto, Nilgiri, Harneys and Sons, India, 2016, 140, água filtrada
oolong claro, Oolong de Alta Montanha, Emporio Sim Sim, Taiwan, 2018, 250, água filtrada
chá preto, assam, Sancha, India, 2015, 140, água filtrada
chá verde, Sincha, Yamamotoyama, Brasil, 2019, 140, água filtrada, 80
chá verde, Gunpowder, Teashop, China, 2019, 140, água filtrada, 80, 0.4
chá preto, Earl Grey, Cia Portugueza de Chá, Outros países, 2019, 140, água filtrada, 100, 0.2
chá verde, Sencha, Yamamotoyama, Brasil, 2019, 140, água filtrada, 80, 0.4
chá branco, Silver needle, Teashop, China, 2018, 250, água filtrada, 80, 2.0
